Time,Source,Destination,Protocol,Length,Frame,Ethernet Src,Ethernet Dest,IP Source,IP Dest,TCP/UDP,Src Port,Dest Port,Label
0,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,62,62,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
0.91131,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,62,62,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
0.91131,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
0.91131,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,HTTP,533,533,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
1.472116,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,54,54,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
1.682419,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
1.812606,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
1.812606,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
2.012894,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
2.443513,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
2.553672,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
2.553672,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237,65.208.228.223,Transmission Control Protocol,3372,80,Http
2.553672,dialin-145-254-160-237.pools.arcor-ip.net,145.253.2.203,DNS,89,89,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237,145.253.2.203,"User Datagram Protocol,      ",3009,53,Http
2.633787,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
2.814046,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
2.894161,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
2.91419,145.253.2.203,dialin-145-254-160-237.pools.arcor-ip.net,DNS,188,188,fe:ff:20:00:01:00,00:00:01:00:00:00,145.253.2.203  ,145.254.160.237,"User Datagram Protocol,      ",53,3009,Http
2.984291,dialin-145-254-160-237.pools.arcor-ip.net,pagead.google.akadns.net,HTTP,775,775,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 216.239.59.99,Transmission Control Protocol,3371,80,Http
3.014334,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
3.374852,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
3.495025,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
3.495025,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
3.635227,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
3.645241,pagead.google.akadns.net,dialin-145-254-160-237.pools.arcor-ip.net,TCP,54,54,fe:ff:20:00:01:00,00:00:01:00:00:00,"216.239.59.99),",145.254.160.237,Transmission Control Protocol,80,3371,Http
3.815486,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
3.91563,pagead.google.akadns.net,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1484,1484,fe:ff:20:00:01:00,00:00:01:00:00:00,"216.239.59.99),",145.254.160.237,Transmission Control Protocol,80,3371,Http
3.955688,pagead.google.akadns.net,dialin-145-254-160-237.pools.arcor-ip.net,HTTP,214,214,fe:ff:20:00:01:00,00:00:01:00:00:00,"216.239.59.99),",145.254.160.237,Transmission Control Protocol,80,3371,Http
3.955688,dialin-145-254-160-237.pools.arcor-ip.net,pagead.google.akadns.net,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 216.239.59.99,Transmission Control Protocol,3371,80,Http
4.105904,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
4.216062,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
4.226076,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
4.356264,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
4.356264,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
4.496465,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1434,1434,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
4.496465,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
4.776868,pagead.google.akadns.net,dialin-145-254-160-237.pools.arcor-ip.net,TCP,1484,1484,fe:ff:20:00:01:00,00:00:01:00:00:00,"216.239.59.99),",145.254.160.237,Transmission Control Protocol,80,3371,Http
4.776868,dialin-145-254-160-237.pools.arcor-ip.net,pagead.google.akadns.net,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 216.239.59.99,Transmission Control Protocol,3371,80,Http
4.846969,65.208.228.223,dialin-145-254-160-237.pools.arcor-ip.net,HTTP/XML,478,478,fe:ff:20:00:01:00,00:00:01:00:00:00,65.208.228.223 ,145.254.160.237,Transmission Control Protocol,80,3372,Http
5.017214,dialin-145-254-160-237.pools.arcor-ip.net,65.208.228.223,TCP,54,54,00:00:01:00:00:00,fe:ff:20:00:01:00,145.254.160.237, 65.208.228.223,Transmission Control Protocol,3372,80,Http
